,VC0175,VC0176,VC0177,VC0178,VC0179,VC0180,VC0181,VC0182,VC0183,VC0184,VC0185
10,Photobacterium ganghwense[gi|83787xxxx],Vibrio crassostreae[gi|85795xxxx],Vibrio campbellii[gi|77994xxxx],Moritella marina[gi|51827xxxx],Aeromonas hydrophila[gi|76662xxxx],Moritella marina[gi|51845xxxx],Pseudoalteromonas sp. ND6B[gi|69434xxxx],Vibrio parahaemolyticus[gi|64635xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Vibrio albensis VL426[gi|22933xxxx],Vibrio sp. RC586[gi|26234xxxx]
11,Photobacterium ganghwense[gi|83645xxxx],Vibrio crassostreae[gi|85798xxxx],Vibrio splendidus[gi|51565xxxx],Enterobacteriaceae[gi|76440xxxx],Aeromonas hydrophila[gi|76408xxxx],Vibrio ichthyoenteri[gi|49376xxxx],Alteromonadales[gi|69657xxxx],Vibrio harveyi[gi|49159xxxx],Vibrio parahaemolyticus[gi|64635xxxx],Vibrio albensis[gi|65383xxxx],Vibrio metoecus[gi|26083xxxx]
12,Pseudoalteromonas sp. P1-7a[gi|94068xxxx],Vibrio proteolyticus[gi|54546xxxx],Vibrio sp. ER1A[gi|74039xxxx],Raoultella ornithinolytica[gi|76344xxxx],Dickeya chrysanthemi[gi|65408xxxx],Vibrio ichthyoenteri ATCC 700023[gi|34280xxxx],Acinetobacter bohemicus[gi|49078xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Vibrio ordalii[gi|51561xxxx],Vibrio ordalii[gi|51561xxxx],Vibrio albensis[gi|48783xxxx]
13,Pseudoalteromonas sp. P1-7a[gi|94045xxxx],Vibrio proteolyticus NBRC 13287[gi|54344xxxx],Vibrio sp. ER1A[gi|66780xxxx],Enterobacter cloacae[gi|82310xxxx],Aeromonas salmonicida[gi|49145xxxx],Pantoea stewartii[gi|93890xxxx],Acinetobacter bohemicus ANC 3994[gi|47986xxxx],Vibrio vulnificus[gi|78275xxxx],Vibrio metoecus[gi|26083xxxx],Vibrio parahaemolyticus[gi|64733xxxx],Vibrio albensis VL426[gi|22933xxxx]
14,Edwardsiella tarda[gi|73763xxxx],Vibrio anguillarum[gi|50362xxxx],Vibrio[gi|51566xxxx],Enterobacter cloacae subsp. cloacae[gi|82284xxxx],Aeromonas salmonicida subsp. salmonicida A449[gi|14285xxxx],Kosakonia radicincitans UMEnt01/12[gi|63519xxxx],Enterobacter cloacae complex[gi|55642xxxx],Vibrio parahaemolyticus[gi|64733xxxx],Vibrio anguillarum M3[gi|53738xxxx],Vibrio parahaemolyticus[gi|64635xxxx],Vibrio parahaemolyticus[gi|68626xxxx]
15,Yersinia frederiksenii[gi|91089xxxx],Vibrio anguillarum 775[gi|33534xxxx],Vibrio tasmaniensis[gi|51566xxxx],Enterobacterales[gi|85196xxxx],Aeromonas salmonicida subsp. salmonicida 01-B526[gi|35668xxxx],Yersinia enterocolitica[gi|89991xxxx],Enterobacter cloacae BWH 31[gi|55509xxxx],Vibrio ordalii[gi|51561xxxx],Vibrio anguillarum[gi|69210xxxx],Vibrio harveyi[gi|49159xxxx],Vibrio harveyi[gi|49159xxxx]
16,Yersinia frederiksenii[gi|80231xxxx],Vibrio anguillarum M3[gi|53737xxxx],Vibrio splendidus[gi|51818xxxx],Serratia marcescens[gi|83872xxxx],Aeromonas salmonicida subsp. salmonicida[gi|72607xxxx],Yersinia enterocolitica[gi|89994xxxx],Acinetobacter sp. ZOR0008[gi|83535xxxx],Vibrio parahaemolyticus[gi|68626xxxx],Shewanella waksmanii[gi|65536xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx]
17,Yersinia frederiksenii[gi|89333xxxx],Vibrio anguillarum[gi|69210xxxx],Vibrio owensii[gi|77996xxxx],Serratia marcescens[gi|83983xxxx],Aeromonas salmonicida subsp. salmonicida[gi|72608xxxx],Yersinia kristensenii[gi|74085xxxx],Acinetobacter[gi|48798xxxx],Shewanella waksmanii[gi|65536xxxx],Pseudoalteromonas rubra[gi|49806xxxx],Vibrio anguillarum 775[gi|33534xxxx],Vibrio parahaemolyticus[gi|64635xxxx]
18,Catenovulum agarivorans[gi|73702xxxx],Vibrio[gi|51561xxxx],Vibrionales bacterium SWAT-3[gi|69529xxxx],Enterobacter cloacae[gi|89589xxxx],Aeromonas salmonicida subsp. salmonicida[gi|76017xxxx],Yersinia kristensenii[gi|68210xxxx],Acinetobacter baumannii WC-A-92[gi|44476xxxx],Pseudoalteromonas rubra[gi|49806xxxx],Pseudoalteromonas rubra DSM 6842[gi|54028xxxx],Vibrio anguillarum M3[gi|53737xxxx],Vibrio parahaemolyticus[gi|64733xxxx]
19,Catenovulum agarivorans DS-2[gi|58442xxxx],Vibrio vulnificus[gi|78269xxxx],Vibrio campbellii[gi|77991xxxx],Pseudomonas simiae[gi|75576xxxx],Pantoea stewartii[gi|93890xxxx],Escherichia coli[gi|51091xxxx],Acinetobacter baumannii 1267820[gi|58779xxxx],Pseudoalteromonas rubra DSM 6842[gi|54028xxxx],Pseudoalteromonas luteoviolacea[gi|55737xxxx],Vibrio xuii[gi|92283xxxx],Vibrio ordalii[gi|51561xxxx]
20,Cedecea neteri[gi|74624xxxx],Vibrio splendidus[gi|84862xxxx],Vibrio splendidus[gi|51564xxxx],Pseudomonas simiae[gi|75531xxxx],Vibrio[gi|65625xxxx],Escherichia coli KTE68[gi|50838xxxx],Yersinia enterocolitica[gi|91573xxxx],Pseudoalteromonas luteoviolacea[gi|55737xxxx],Pseudoalteromonas luteoviolacea 2ta16[gi|55690xxxx],Pseudoalteromonas rubra[gi|49806xxxx],Pseudoalteromonas rubra[gi|49806xxxx]
21,Cedecea neteri[gi|69027xxxx],Vibrio[gi|51515xxxx],Vibrio harveyi[gi|65892xxxx],Dickeya chrysanthemi[gi|65408xxxx],Escherichia coli[gi|44648xxxx],Enterobacteriaceae[gi|48635xxxx],Yersinia enterocolitica[gi|89991xxxx],Pseudoalteromonas luteoviolacea 2ta16[gi|55690xxxx],Alteromonas mediterranea[gi|50488xxxx],Pseudoalteromonas rubra DSM 6842[gi|54028xxxx],Pseudoalteromonas rubra DSM 6842[gi|54028xxxx]
22,Serratia sp. DD3[gi|55856xxxx],Vibrio splendidus[gi|51565xxxx],Vibrio[gi|49087xxxx],Pseudomonas syringae[gi|48949xxxx],Escherichia coli DEC8D[gi|37806xxxx],Enterobacter hormaechei[gi|28491xxxx],Yersinia enterocolitica[gi|89994xxxx],Vibrio owensii[gi|51904xxxx],Alteromonas mediterranea DE1[gi|41082xxxx],Pseudoalteromonas luteoviolacea[gi|55737xxxx],Pseudoalteromonas luteoviolacea[gi|55737xxxx]
23,Serratia sp. DD3[gi|66638xxxx],Vibrio campbellii[gi|77994xxxx],Vibrio splendidus 12B01[gi|8437xxxx],Pseudomonas syringae pv. aceris str. M302273[gi|33097xxxx],Escherichia coli[gi|64334xxxx],Escherichia coli KTE91[gi|43135xxxx],Escherichia coli[gi|58522xxxx],Vibrio owensii CAIM 1854 = LMG 25443[gi|74703xxxx],Alteromonas mediterranea U4[gi|52133xxxx],Pseudoalteromonas luteoviolacea 2ta16[gi|55690xxxx],Pseudoalteromonas luteoviolacea 2ta16[gi|55690xxxx]
24,Serratia sp. DD3[gi|66638xxxx],Vibrio anguillarum[gi|51811xxxx],Vibrio harveyi group[gi|93910xxxx],Pseudomonas syringae pv. syringae str. B301D-R[gi|59045xxxx],Klebsiella[gi|64480xxxx],Escherichia coli KTE184[gi|43145xxxx],Escherichia coli[gi|64334xxxx],Alteromonas mediterranea[gi|50488xxxx],Alteromonas mediterranea UM7[gi|52134xxxx],Vibrio owensii[gi|51904xxxx],Pseudoalteromonas[gi|49574xxxx]
25,Serratia sp. DD3[gi|66639xxxx],Vibrio cyclitrophicus[gi|51515xxxx],Vibrio crassostreae[gi|88081xxxx],Pseudomonas syringae pv. aceris[gi|91845xxxx],Enterobacteriaceae[gi|48635xxxx],Escherichia coli KTE90[gi|43171xxxx],Escherichia coli[gi|44692xxxx],Alteromonas mediterranea DE1[gi|41082xxxx],Vibrio anguillarum 775[gi|33534xxxx],Vibrio owensii CAIM 1854 = LMG 25443[gi|74703xxxx],Pseudoalteromonas sp. BSi20439[gi|35803xxxx]
26,Serratia sp. DD3[gi|66639xxxx],Vibrio splendidus[gi|51818xxxx],Vibrio crassostreae[gi|85789xxxx],Aeromonas salmonicida[gi|49145xxxx],Escherichia coli[gi|3792xxxx],Klebsiella pneumoniae MGH 21[gi|55519xxxx],Yersinia kristensenii[gi|74085xxxx],Alteromonas mediterranea U4[gi|52133xxxx],Pseudoalteromonas[gi|63930xxxx],Alteromonas mediterranea[gi|50488xxxx],Pseudoalteromonas sp. SW0106-04[gi|92887xxxx]
27,Enterobacter cloacae[gi|77079xxxx],Vibrio anguillarum[gi|51811xxxx],Vibrio crassostreae[gi|85795xxxx],Aeromonas salmonicida subsp. salmonicida A449[gi|14285xxxx],Enterobacter hormaechei[gi|28491xxxx],Escherichia coli 1-392-07_S4_C2[gi|61102xxxx],Yersinia kristensenii[gi|68210xxxx],Alteromonas mediterranea UM7[gi|52134xxxx],Pseudoalteromonas sp. SW0106-04[gi|92443xxxx],Alteromonas mediterranea DE1[gi|41082xxxx],Pseudoalteromonas sp. SW0106-04[gi|92443xxxx]
28,Enterobacter cloacae[gi|76862xxxx],Vibrio tasmaniensis[gi|51566xxxx],Vibrio harveyi[gi|75615xxxx],Aeromonas salmonicida subsp. salmonicida 01-B526[gi|35668xxxx],Escherichia coli KTE91[gi|43135xxxx],Klebsiella pneumoniae subsp. pneumoniae PittNDM01[gi|66771xxxx],Yersinia kristensenii[gi|90355xxxx],Pseudoalteromonas piscicida[gi|49806xxxx],Pseudoalteromonas[gi|49574xxxx],Alteromonas mediterranea U4[gi|52133xxxx],Shewanella waksmanii[gi|65536xxxx]
29,Yersinia intermedia[gi|89336xxxx],Vibrio ichthyoenteri[gi|49376xxxx],Vibrio harveyi[gi|75527xxxx],Vibrio alginolyticus[gi|92202xxxx],Escherichia coli KTE184[gi|43145xxxx],Klebsiella pneumoniae MRSN 3562[gi|81608xxxx],Vibrio ichthyoenteri[gi|49376xxxx],Pseudoalteromonas sp. SW0106-04[gi|92887xxxx],Pseudoalteromonas sp. BSi20439[gi|35803xxxx],Alteromonas mediterranea UM7[gi|52134xxxx],Pseudoalteromonas piratica[gi|74085xxxx]
30,Enterobacter cloacae complex[gi|78271xxxx],Vibrio ichthyoenteri ATCC 700023[gi|34279xxxx],Vibrio[gi|88081xxxx],Vibrio alginolyticus[gi|91646xxxx],Escherichia coli KTE90[gi|43171xxxx],Klebsiella pneumoniae[gi|83915xxxx],Vibrio ichthyoenteri ATCC 700023[gi|34280xxxx],Pseudoalteromonas sp. SW0106-04[gi|92443xxxx],Pseudoalteromonas piratica[gi|74085xxxx],Pseudoalteromonas piratica[gi|72805xxxx],Pseudoalteromonas piratica[gi|72805xxxx]
31,Enterobacter hormaechei subsp. oharae[gi|77097xxxx],Vibrio parahaemolyticus[gi|65901xxxx],Vibrio crassostreae[gi|85789xxxx],Acinetobacter sp. ZOR0008[gi|83535xxxx],Escherichia coli KTE68[gi|50838xxxx],Klebsiella pneumoniae[gi|93084xxxx],Enterobacteriaceae[gi|48635xxxx],Pseudoalteromonas luteoviolacea[gi|55737xxxx],Pseudoalteromonas piratica[gi|72805xxxx],Pseudoalteromonas piratica[gi|91753xxxx],Vibrio vulnificus CladeA-yb158[gi|82348xxxx]
32,Pectobacterium carotovorum[gi|74646xxxx],Vibrio parahaemolyticus[gi|72613xxxx],Vibrio crassostreae[gi|85790xxxx],Kosakonia radicincitans[gi|73792xxxx],Klebsiella pneumoniae MGH 21[gi|55519xxxx],Klebsiella pneumoniae[gi|93729xxxx],Escherichia coli KTE91[gi|43135xxxx],Pseudoalteromonas luteoviolacea 2ta16[gi|55690xxxx],Vibrio xuii[gi|92283xxxx],Pseudoalteromonas sp. SW0106-04[gi|92887xxxx],Vibrio vulnificus[gi|91921xxxx]
33,Pectobacterium carotovorum subsp. carotovorum[gi|74113xxxx],Vibrio sp. MED222[gi|49753xxxx],Vibrio crassostreae[gi|85794xxxx],Kosakonia radicincitans UMEnt01/12[gi|63519xxxx],Escherichia coli 1-392-07_S4_C2[gi|61102xxxx],Enterobacter cloacae complex[gi|55642xxxx],Escherichia coli KTE184[gi|43145xxxx],Pseudoalteromonas[gi|49574xxxx],Vibrio albensis VL426[gi|22933xxxx],Pseudoalteromonas sp. SW0106-04[gi|92443xxxx],Enterobacter cloacae complex[gi|83656xxxx]
34,Enterobacter cloacae[gi|69569xxxx],Vibrio sp. MED222[gi|8583xxxx],Vibrio crassostreae[gi|85795xxxx],Escherichia coli[gi|44720xxxx],Klebsiella pneumoniae subsp. pneumoniae PittNDM01[gi|66771xxxx],Enterobacter cloacae BWH 31[gi|55509xxxx],Escherichia coli KTE90[gi|43171xxxx],Pseudoalteromonas sp. BSi20439[gi|35803xxxx],Vibrio sp. B183[gi|67286xxxx],Pseudoalteromonas[gi|63930xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82933xxxx]
35,Enterobacter cloacae BIDMC 67[gi|63576xxxx],Vibrio[gi|75615xxxx],Vibrio crassostreae[gi|85798xxxx],Escherichia coli DEC8D[gi|37806xxxx],Klebsiella pneumoniae MRSN 3562[gi|81608xxxx],Enterobacter cloacae[gi|77246xxxx],Escherichia coli KTE68[gi|50838xxxx],Pseudoalteromonas[gi|63930xxxx],Vibrio sp. B183[gi|91730xxxx],Pseudoalteromonas[gi|49574xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82938xxxx]
36,Serratia marcescens[gi|75942xxxx],Vibrio harveyi[gi|75527xxxx],Vibrio hyugaensis[gi|78017xxxx],Escherichia coli P0301867.1[gi|47630xxxx],Klebsiella pneumoniae[gi|83915xxxx],Klebsiella pneumoniae[gi|64480xxxx],Klebsiella pneumoniae MRSN 3562[gi|81608xxxx],Pseudoalteromonas piratica[gi|74085xxxx],Vibrio anguillarum[gi|50362xxxx],Pseudoalteromonas sp. BSi20439[gi|35803xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx]
37,Pectobacterium carotovorum[gi|74647xxxx],Vibrio[gi|51566xxxx],Vibrio metoecus[gi|69412xxxx],Escherichia coli 2719100[gi|47636xxxx],Klebsiella pneumoniae[gi|93084xxxx],Klebsiella pneumoniae subsp. pneumoniae Kp13[gi|56955xxxx],Klebsiella pneumoniae[gi|93084xxxx],Pseudoalteromonas piratica[gi|72805xxxx],Vibrio anguillarum 775[gi|33534xxxx],Aeromonas media WS[gi|61555xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx]
38,Pectobacterium carotovorum subsp. brasiliense[gi|74110xxxx],Vibrio parahaemolyticus[gi|64654xxxx],Vibrio splendidus[gi|51566xxxx],Escherichia coli P0301867.4[gi|47673xxxx],Klebsiella pneumoniae[gi|93729xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82282xxxx],Klebsiella pneumoniae[gi|93729xxxx],Vibrio vulnificus[gi|82369xxxx],Vibrio anguillarum M3[gi|53738xxxx],Aeromonas media[gi|49147xxxx],Enterobacteriaceae[gi|69574xxxx]
39,Rahnella sp. WP5[gi|73916xxxx],Vibrio harveyi group[gi|65892xxxx],Vibrio parahaemolyticus[gi|92660xxxx],Escherichia coli P0301867.2[gi|47673xxxx],Enterobacterales[gi|49109xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82933xxxx],Escherichia coli[gi|3792xxxx],Vibrio vulnificus CladeA-yb158[gi|82348xxxx],Vibrio anguillarum[gi|69210xxxx],Vibrio vulnificus[gi|82369xxxx],Enterobacter cloacae[gi|77246xxxx]
40,Rahnella[gi|50333xxxx],Vibrio harveyi[gi|75615xxxx],Vibrio hyugaensis[gi|78015xxxx],Escherichia coli 178900[gi|47676xxxx],Serratia odorifera DSM 4582[gi|29142xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82938xxxx],Enterobacter hormaechei[gi|28491xxxx],Vibrio metoecus[gi|26083xxxx],Vibrio vulnificus[gi|82369xxxx],Vibrio vulnificus CladeA-yb158[gi|82348xxxx],Enterobacter cloacae BWH 31[gi|55509xxxx]
41,Rahnella sp. Y9602[gi|32116xxxx],Vibrio harveyi[gi|75527xxxx],Vibrio splendidus[gi|84862xxxx],Escherichia coli P0301867.11[gi|47700xxxx],Enterobacter cloacae complex[gi|82330xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx],Acinetobacter baumannii[gi|69101xxxx],Vibrio parahaemolyticus[gi|64636xxxx],Vibrio vulnificus CladeA-yb158[gi|82348xxxx],Gammaproteobacteria[gi|76552xxxx],Vibrio parahaemolyticus[gi|92110xxxx]
42,Rahnella aquatilis HX2[gi|38075xxxx],Vibrio[gi|49833xxxx],Vibrio sp. J2-31[gi|87390xxxx],Escherichia coli P0301867.13[gi|47711xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82282xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx],Acinetobacter baumannii UH6507[gi|57171xxxx],Vibrio parahaemolyticus[gi|92110xxxx],Shewanella xiamenensis[gi|73956xxxx],Shewanella putrefaciens[gi|50442xxxx],Vibrio parahaemolyticus[gi|64636xxxx]
43,Rahnella aquatilis[gi|50409xxxx],Vibrio cholerae[gi|44593xxxx],Vibrio albensis[gi|65383xxxx],Escherichia coli P0301867.3[gi|47743xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82933xxxx],Escherichia coli[gi|69297xxxx],Vibrio cyclitrophicus[gi|51517xxxx],Enterobacter cloacae complex[gi|83656xxxx],Gammaproteobacteria[gi|76552xxxx],Shewanella putrefaciens 200[gi|31942xxxx],Vibrio parahaemolyticus[gi|92231xxxx]
44,Rahnella aquatilis CIP 78.65 = ATCC 33071[gi|37158xxxx],Vibrio litoralis[gi|65384xxxx],Vibrionales bacterium SWAT-3[gi|14596xxxx],Escherichia coli P0301867.5[gi|47743xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82938xxxx],Escherichia coli[gi|64334xxxx],Acinetobacter sp. COS3[gi|55256xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82933xxxx],Vibrio metoecus[gi|44611xxxx],Vibrio cholerae[gi|44596xxxx],Citrobacter sp. MGH109[gi|85198xxxx]
45,Rahnella aquatilis CIP 78.65 = ATCC 33071[gi|66898xxxx],Vibrio tasmaniensis[gi|50162xxxx],Vibrio tasmaniensis[gi|50162xxxx],Escherichia coli P0301867.7[gi|47744xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx],Escherichia coli[gi|48589xxxx],Acinetobacter sp. COS3[gi|55067xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82938xxxx],Vibrio metoecus[gi|26083xxxx],Pseudoalteromonas sp. P1-30[gi|94038xxxx],Shewanella xiamenensis[gi|73956xxxx]
46,Vibrio parahaemolyticus VP49[gi|62796xxxx],Vibrio tasmaniensis LGP32[gi|21832xxxx],Vibrio tasmaniensis LGP32[gi|21832xxxx],Escherichia coli[gi|64334xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx],Escherichia coli P0301867.11[gi|47700xxxx],Klebsiella[gi|64480xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx],Proteus vulgaris[gi|85777xxxx],Pseudoalteromonas sp. P1-30[gi|93993xxxx],Gammaproteobacteria[gi|76552xxxx]
47,Vibrio parahaemolyticus[gi|92202xxxx],Vibrio campbellii[gi|77991xxxx],Vibrio harveyi[gi|75615xxxx],Klebsiella[gi|74929xxxx],Yersinia enterocolitica[gi|91573xxxx],Escherichia coli[gi|44631xxxx],Klebsiella pneumoniae subsp. pneumoniae Kp13[gi|56955xxxx],Enterobacter hormaechei subsp. steigerwaltii[gi|82941xxxx],Shewanella putrefaciens[gi|50442xxxx],Shewanella xiamenensis[gi|73956xxxx],Shewanella baltica[gi|50158xxxx]
48,Vibrio parahaemolyticus[gi|91647xxxx],Vibrio harveyi[gi|49159xxxx],Vibrio harveyi[gi|75527xxxx],Klebsiella pneumoniae[gi|64480xxxx],Yersinia enterocolitica[gi|89991xxxx],Escherichia coli DEC8D[gi|37806xxxx],Serratia odorifera[gi|49109xxxx],Enterobacteriaceae[gi|55642xxxx],Shewanella putrefaciens 200[gi|31942xxxx],Shewanella xiamenensis[gi|65991xxxx],Shewanella baltica OS223[gi|21750xxxx]
49,Vibrio parahaemolyticus[gi|91647xxxx],Vibrio harveyi CAIM 1792[gi|47134xxxx],Vibrio[gi|51515xxxx],Klebsiella pneumoniae subsp. pneumoniae Kp13[gi|56955xxxx],Yersinia enterocolitica[gi|89994xxxx],Escherichia coli[gi|44631xxxx],Serratia odorifera DSM 4582[gi|29142xxxx],Enterobacter cloacae BWH 31[gi|55509xxxx],Vibrio cholerae[gi|48794xxxx],Xenorhabdus nematophila str. Anatoliense[gi|73315xxxx],Shewanella putrefaciens[gi|50442xxxx]
50,Vibrio parahaemolyticus[gi|91817xxxx],Vibrio[gi|49087xxxx],Vibrio[gi|75127xxxx],Escherichia coli 6-537-08_S1_C1[gi|66014xxxx],Enterobacteriaceae[gi|55642xxxx],Escherichia coli P0301867.1[gi|47630xxxx],Psychrobacter arcticus[gi|49959xxxx],Enterobacter cloacae[gi|77246xxxx],Vibrio parahaemolyticus[gi|64637xxxx],Enterobacter sp. BIDMC 26[gi|91459xxxx],Shewanella putrefaciens 200[gi|31942xxxx]
51,Vibrio parahaemolyticus[gi|49162xxxx],Vibrio splendidus 12B01[gi|8437xxxx],Vibrio renipiscarius[gi|74973xxxx],Escherichia coli 6-537-08_S1_C2[gi|66025xxxx],Enterobacter cloacae BWH 31[gi|55509xxxx],Escherichia coli 2719100[gi|47636xxxx],Psychrobacter arcticus 273-4[gi|7103xxxx],Vibrio cholerae[gi|44667xxxx],Vibrio parahaemolyticus[gi|92110xxxx],Enterobacter sp. BIDMC 26[gi|57826xxxx],Vibrio cholerae[gi|44624xxxx]
52,Vibrio parahaemolyticus AQ4037[gi|30810xxxx],Vibrio alginolyticus[gi|92203xxxx],Vibrio renipiscarius[gi|74973xxxx],Escherichia coli 6-537-08_S1_C3[gi|66026xxxx],Enterobacter cloacae[gi|77246xxxx],Escherichia coli P0301867.4[gi|47673xxxx],Enterobacteriaceae[gi|76440xxxx],Proteus vulgaris[gi|85777xxxx],Shewanella sp. W3-18-1[gi|50011xxxx],Vibrio vulnificus[gi|74642xxxx],Shewanella sp. W3-18-1[gi|50011xxxx]
